"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","lcsc#","jlc-part-type","alt#"
"34","Resistor","R","R206,R211,R212","0R1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3"," ","","C127687","E+",""
"35","Resistor","R","R602,R603","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2"," ","~","C25077","B+",""
"36","Resistor","R","R305,R306","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2"," ","~","C25092","B+",""
"37","Resistor","R","R412,R413,R414,R415","33R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","4"," ","~","C25105","B+",""
"38","Resistor","R","R405,R406,R407,R408","49R9","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","4"," ","~","C25120","B+",""
"39","Resistor","R","R401,R402,R403,R404","75R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","4"," ","~","C25133","ER+",""
"40","Resistor","R","R503,R504,R505,R506,R606,R607,R608,R609","120R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8"," ","~","C17437","B+",""
"41","Resistor","R","R101,R102,R103,R104,R105,R301,R302,R303,R304,R307,R410,R501,R502,R601","4k7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","14"," ","~","C25900","B+",""
"42","Resistor","R","R207,R208,R209,R210","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4"," ","~","C17673","B+",""
"43","Resistor","R","R201,R203,R205","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3"," ","~","C17414","B+",""
"44","Resistor","R","R604,R605","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2"," ","~","C25744","B+",""
"45","Resistor","R","R409,R411","12k4","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2"," ","~","C11692","E+",""
"46","Resistor","R","R202","47k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","1"," ","~","C25792","B+",""
"47","Resistor","R","R204,R308","150k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"," ","~","C17470","B+",""
"48","Resistor","R","R416","1M","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","1"," ","~","C26083","B+",""
"49","Push button switch, generic, two pins","SW_Push","SW101,SW102","15mm","SW_SPST_15","2"," ","https://www.lcsc.com/datasheet/C2885154.pdf","C2885154","E+",""
"50","Ethernet LAN 10/100 Base-Tx Transformer CT, SMD","Wuerth_749013011A","TR401","CND-tek-H1102N","Transformer_Ethernet_SO-16_7.11x12.7mm","1"," ","https://www.lcsc.com/datasheet/C42418465.pdf","C42418465","E+",""
"51","I2C Serial EEPROM, 2Kb (256x8) with Unique Serial Number, SOT-23-5","AT24CS02-STUM","U102","24C02S","SOT-23-5","1"," ","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8815-SEEPROM-AT24CS01-02-Datasheet.pdf","C18723540","E+",""
"52","","DP9700AT-24","U201","DP9700AT-24","DP9700AT","1"," ","https://www.lcsc.com/datasheet/C5380094.pdf","C5380094","E+",""
"53","High-Side or Low-Side Measurement, Bi-Directional Current and Power Monitor (0-36V) with I2C Compatible Interface, VSSOP-10","INA226","U105","INA226","VSSOP-10_3x3mm_P0.5mm","1"," ","http://www.ti.com/lit/ds/symlink/ina226.pdf","C49851","E+","C2653870"
"54","300mA Low Dropout Voltage Regulator, Fixed Output 3.3V, SOT-23","APE8865N-33-HF-3","U203","JTD6206-3.3V","SOT-23","1"," ","https://www.lcsc.com/datasheet/C42443428.pdf","C5446","B+","C42443428"
"55","Half duplex RS-485/RS-422, 0.25 Mbps, ±15kV electro-static discharge (ESD) protection, with slew-rate, with low-power shutdown, with receiver/driver enable, 128 receiver drive kapacitity, DIP-8 and SOIC-8","MAX487E","U601","MAX13487E","SOIC-8_3.9x4.9mm_P1.27mm","1"," ","https://www.lcsc.com/datasheet/C18347.pdf","C18347","E+",""
"56","1.2 A Simple Buck Regulator, 3-26V input, 1.5Mhz","AOZ1280CI","U202","ME3121AM6G","SOT-23-6","1"," ","https://m.huazhoucn.com/upFiles/common/2022/12/ME3121_Series_E1.0.pdf","C2932938","E+",""
"57","Digital Temperature Sensor with I2C/SMBus Interface, +/-2° C, one-shot conversion, alert, SOT-23-6","TMP101","U101,U104","TMP102","SOT-563","2"," ","https://www.lcsc.com/datasheet/C99269.pdf","C99269","E+",""
"58","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6","USBLC6-2SC6","U103","USBLC6-2SC6","SOT-23-6","1"," ","https://www.lcsc.com/datasheet/C2687116.pdf","C2687116","E+",""
"59","10/100Mb SPI Ethernet controller with TCP/IP stack, LQFP-48","W5500","U401","W5500","LQFP-48_7x7mm_P0.5mm","1"," ","https://www.lcsc.com/datasheet/C32843.pdf","C32843","E+",""
"60","High-Speed CAN Transceiver, standby mode, split pin, SOIC-8","TJA1042T","U501","XL1050","SOIC-8_3.9x4.9mm_P1.27mm","1"," ","https://www.lcsc.com/datasheet/C609746.pdf","C609746","E+",""
"61","esp32-C3FH4X 4MB flash QFN32-1EP 5x5mm EP3.7x3.7mm","esp32-C3FH4X","U301","esp32-C3FH4X","QFN-32-1EP_5x5mm_P0.5mm_EP3.65x3.65mm","1"," ","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf","C2858491","E+",""
"62","Four pin crystal, GND on pins 2 and 4","Crystal_GND24","Y401","25MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm","1"," ","https://www.lcsc.com/datasheet/C7301943.pdf","C7301943","E+",""
"63","Four pin crystal, GND on pins 2 and 4","Crystal_GND24","Y301","40MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm","1"," ","https://www.lcsc.com/datasheet/C20885029.pdf","C20885029","E+",""
